step,loss
1,0.22478178143501282
2,0.16201251745224
3,0.1691674292087555
4,0.1159413605928421
5,0.06811437755823135
6,0.0853789672255516
7,0.09263251721858978
8,0.05795774608850479
9,0.07399919629096985
10,0.22956696152687073
11,0.16396568715572357
12,0.18857190012931824
13,0.20093101263046265
14,0.07836776226758957
15,0.16321098804473877
16,0.054959315806627274
17,0.09390311688184738
18,0.12047675997018814
19,0.1435229480266571
20,0.11749669164419174
21,0.059091709554195404
22,0.08115186542272568
23,0.12539246678352356
24,0.057676974684000015
25,0.11638693511486053
26,0.07380833476781845
27,0.06364346295595169
28,0.1304728388786316
29,0.13907140493392944
30,0.14905858039855957
31,0.13390642404556274
32,0.08864356577396393
33,0.05589498206973076
34,0.0742054283618927
35,0.05826065316796303
36,0.1070081889629364
37,0.19306571781635284
38,0.11496200412511826
39,0.2098826766014099
40,0.10904295742511749
41,0.13879837095737457
42,0.18287792801856995
43,0.11734875291585922
44,0.10346318036317825
45,0.05114364996552467
46,0.09009338170289993
47,0.13626286387443542
48,0.2081562876701355
49,0.1330282837152481
50,0.2056688666343689
51,0.12629108130931854
52,0.05213697627186775
53,0.06053212285041809
54,0.1326296180486679
55,0.06884130835533142
56,0.16842438280582428
57,0.10975374281406403
58,0.11362430453300476
59,0.20529429614543915
60,0.05858178436756134
61,0.3107949495315552
62,0.08279763162136078
63,0.2117941826581955
64,0.11117362976074219
65,0.09236235916614532
66,0.08027666807174683
67,0.1677624136209488
68,0.20829547941684723
69,0.09521494805812836
70,0.14058569073677063
71,0.11187072098255157
72,0.16350886225700378
73,0.1398867517709732
74,0.15435071289539337
75,0.08183640241622925
76,0.04021136835217476
77,0.212373748421669
78,0.0945928618311882
79,0.129379540681839
80,0.10497047752141953
81,0.12382529675960541
82,0.09966859221458435
83,0.08847301453351974
84,0.05753922462463379
85,0.20086398720741272
86,0.10429226607084274
87,0.18775223195552826
88,0.08897662907838821
89,0.09437955170869827
90,0.1878480613231659
91,0.07699786126613617
92,0.07469925284385681
93,0.25324809551239014
94,0.055078476667404175
95,0.16370423138141632
96,0.15506277978420258
97,0.07874508202075958
98,0.08658207207918167
99,0.15048737823963165
100,0.0497891791164875
101,0.08346737176179886
102,0.09637919813394547
103,0.16883042454719543
104,0.2963818907737732
105,0.08449762314558029
106,0.10093314200639725
107,0.18611495196819305
108,0.09431681036949158
109,0.10872950404882431
110,0.2190522402524948
111,0.07472445070743561
112,0.1502082347869873
113,0.045917052775621414
114,0.12180361896753311
115,0.04124609753489494
116,0.05495157837867737
117,0.21104608476161957
118,0.04836779087781906
119,0.22977687418460846
120,0.15303531289100647
121,0.04267869144678116
122,0.18855838477611542
123,0.16157713532447815
124,0.059531740844249725
125,0.09845466911792755
126,0.160731241106987
127,0.0738292708992958
128,0.16204290091991425
129,0.05538850277662277
130,0.08556068688631058
131,0.11413368582725525
132,0.13140413165092468
133,0.1441497802734375
134,0.06873050332069397
135,0.2747372090816498
136,0.041340768337249756
137,0.18245168030261993
138,0.05736546590924263
139,0.14069518446922302
140,0.17796047031879425
141,0.1670992523431778
142,0.2961544692516327
143,0.24068619310855865
144,0.05321669951081276
145,0.133475199341774
146,0.07583765685558319
147,0.05843276530504227
148,0.11406648904085159
149,0.046169113367795944
150,0.16316448152065277
151,0.19325338304042816
152,0.20313352346420288
153,0.0790080577135086
154,0.16056832671165466
155,0.10683294385671616
156,0.20393802225589752
157,0.04801945388317108
158,0.1348799765110016
159,0.06341782212257385
160,0.1386793702840805
161,0.052386000752449036
162,0.14609703421592712
163,0.05570830777287483
164,0.053217463195323944
165,0.0899033397436142
166,0.3240591287612915
167,0.06598348915576935
168,0.17962078750133514
169,0.09481087327003479
170,0.20559276640415192
171,0.31209611892700195
172,0.049683377146720886
173,0.06035616993904114
174,0.13922731578350067
175,0.2473355531692505
176,0.05726439878344536
177,0.08821792155504227
178,0.1874084770679474
179,0.08802814781665802
180,0.06028464436531067
181,0.12043499946594238
182,0.05598187446594238
183,0.061599500477313995
184,0.0898640900850296
185,0.08076988160610199
186,0.08649339526891708
187,0.05126383155584335
188,0.20597462356090546
189,0.057610884308815
190,0.06177955120801926
191,0.20932237803936005
192,0.2683645784854889
193,0.09760952740907669
194,0.061377622187137604
195,0.2856009006500244
196,0.06638672947883606
197,0.14651671051979065
198,0.08775103837251663
199,0.13970790803432465
200,0.07623770087957382
